CODGEO,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO
01181,13.46,16.28,24.82,16.28,7.57,17.98,39.33,37.08,5.62
01183,12.9,21.79,19.45,17.22,6.12,20.04,37.95,39.38,1.71
01184,14.42,15.21,25.4,17.99,7.8,36.76,27.94,30.88,2.94
01185,15.05,14.84,20.62,19.87,13.33,46.22,27.78,18.73,5.68
01187,9.71,16.5,24.27,24.6,10.03,35.48,37.1,12.9,14.52
01188,13.95,20.41,22.91,12.63,5.43,18.0,34.0,42.0,6.0
01189,16.14,22.51,21.26,13.09,5.02,26.88,26.88,35.48,9.68
01190,10.11,13.48,22.47,22.47,14.61,25.0,37.5,25.0,12.5
01191,16.03,19.23,21.79,19.87,9.62,28.57,42.86,28.57,0.0
01192,16.57,20.57,22.79,14.54,4.6,30.75,25.84,34.72,8.68
01193,9.01,14.41,22.97,28.83,9.91,28.57,33.33,19.05,14.29
01194,15.99,16.45,21.53,17.41,9.02,30.21,29.46,28.33,11.82
01195,13.05,18.63,20.8,15.22,9.12,25.24,29.39,33.52,11.09
01196,14.84,23.06,17.88,12.33,6.06,20.61,30.47,43.22,4.58
01197,12.01,17.18,21.07,24.06,6.91,27.71,39.1,26.68,6.52
01198,18.17,21.61,22.49,13.59,3.04,20.33,35.22,34.48,9.96
01199,16.67,19.3,21.1,14.53,7.16,35.37,25.85,26.99,11.79
01200,18.78,17.84,23.95,16.43,6.57,27.78,27.78,33.33,11.11
01202,16.69,18.68,20.13,16.52,8.57,35.47,27.21,26.6,9.3
01203,16.29,17.39,23.87,17.93,4.97,22.47,37.58,34.81,3.06
01204,15.23,18.39,22.9,14.92,6.02,27.51,24.12,36.31,10.34
01206,13.22,17.43,26.08,16.81,7.82,27.16,30.8,33.36,4.28
01207,14.15,20.47,26.81,13.41,3.95,20.81,24.38,42.63,8.13
01208,10.37,14.81,22.22,24.44,13.33,42.86,21.43,21.43,7.14
01209,12.08,26.74,19.41,10.54,5.27,22.41,31.03,39.66,6.9
01210,17.46,18.76,24.89,14.89,8.77,41.06,27.28,27.12,4.55
01211,13.68,19.73,22.33,17.68,6.49,33.84,27.7,24.72,11.3
01212,14.33,18.54,19.8,18.68,7.58,25.42,37.29,32.2,5.08
01213,15.62,20.68,24.87,11.5,4.61,22.35,30.17,35.47,11.0
01214,13.04,16.77,24.84,21.74,6.83,33.33,20.0,33.33,13.33
01215,12.4,20.5,27.71,13.92,8.68,24.88,41.85,33.28,0.0
01216,10.28,18.75,17.22,23.85,10.28,30.47,35.45,31.25,2.84
