,TYPECOM,COM,REG,DEP,LIBELLE_COM,LIBELLE_DEP,LIBELLE_REG,Code_postal,latitude,longitude
20506,COM,46262,76,46,Lendou-en-Quercy,Lot,Occitanie,46800,44.312637326,1.266325913
20507,COM,46262,76,46,Lendou-en-Quercy,Lot,Occitanie,46800,44.312637326,1.266325913
20508,COM,46262,76,46,Lendou-en-Quercy,Lot,Occitanie,46800,44.312637326,1.266325913
20509,COMD,46262,,,Saint-Cyprien,,,46800,44.312637326,1.266325913
20510,COMD,46262,,,Saint-Cyprien,,,46800,44.312637326,1.266325913
20511,COMD,46262,,,Saint-Cyprien,,,46800,44.312637326,1.266325913
20512,COM,46263,76,46,Barguelonne-en-Quercy,Lot,Occitanie,46800,44.372127311,1.250704684
20513,COM,46263,76,46,Barguelonne-en-Quercy,Lot,Occitanie,46800,44.372127311,1.250704684
20514,COM,46263,76,46,Barguelonne-en-Quercy,Lot,Occitanie,46800,44.372127311,1.250704684
20515,COMD,46263,,,Saint-Daunès,,,46800,44.372127311,1.250704684
20516,COMD,46263,,,Saint-Daunès,,,46800,44.372127311,1.250704684
20517,COMD,46263,,,Saint-Daunès,,,46800,44.372127311,1.250704684
20518,COM,46264,76,46,Saint-Denis-Catus,Lot,Occitanie,46150,44.569352526,1.387861279
20519,COM,46265,76,46,Saint-Denis-lès-Martel,Lot,Occitanie,46600,44.944308004,1.65821579
20520,COM,46266,76,46,Saint-Félix,Lot,Occitanie,46100,44.61231552,2.113219403
20521,COM,46267,76,46,Saint-Germain-du-Bel-Air,Lot,Occitanie,46310,44.645899234,1.441773125
20522,COM,46268,76,46,Saint Géry-Vers,Lot,Occitanie,46330,44.489138612,1.569039837
20523,COM,46268,76,46,Saint Géry-Vers,Lot,Occitanie,46090,44.489138612,1.569039837
20524,COMD,46268,,,Saint-Géry,,,46330,44.489138612,1.569039837
20525,COMD,46268,,,Saint-Géry,,,46090,44.489138612,1.569039837
20526,COM,46269,76,46,Saint-Hilaire,Lot,Occitanie,46210,44.788978609,2.14935938
20527,COM,46270,76,46,Saint-Jean-de-Laur,Lot,Occitanie,46260,44.429422817,1.830214272
20528,COM,46271,76,46,Saint-Jean-Lespinasse,Lot,Occitanie,46400,44.85841927,1.859334475
20529,COM,46272,76,46,Saint-Jean-Mirabel,Lot,Occitanie,46270,44.632726151,2.107827319
20530,COM,46273,76,46,Saint-Laurent-les-Tours,Lot,Occitanie,46400,44.881935539,1.90518654
20531,COMD,46274,,,Saint-Laurent-Lolmie,,,,,
20532,COMD,46275,,,Saint-Martin-de-Vers,,,,,
20533,COM,46276,76,46,Saint-Martin-Labouval,Lot,Occitanie,46330,44.479736294,1.728942501
20534,COM,46277,76,46,Saint-Martin-le-Redon,Lot,Occitanie,46700,44.534421398,1.034209277
20535,COMD,46278,,,Saint-Matré,,,,,
20536,COM,46279,76,46,Saint-Maurice-en-Quercy,Lot,Occitanie,46120,44.74933635,1.956032694
20537,COM,46280,76,46,Saint-Médard,Lot,Occitanie,46150,44.538965206,1.295168406
20538,COM,46281,76,46,Saint-Médard-de-Presque,Lot,Occitanie,46400,44.852684173,1.84139844
20539,COM,46282,76,46,Saint-Médard-Nicourby,Lot,Occitanie,46210,44.765826828,2.011068
20540,COM,46283,76,46,Saint-Michel-de-Bannières,Lot,Occitanie,46110,44.975917241,1.683646948
20541,COM,46284,76,46,Saint-Michel-Loubéjou,Lot,Occitanie,46130,44.888728811,1.853217293
20542,COMD,46285,,,Saint-Pantaléon,,,,,
20543,COM,46286,76,46,Saint-Paul-de-Vern,Lot,Occitanie,46400,44.838045642,1.941954716
20544,COMD,46287,,,Saint-Paul-de-Loubressac,,,,,
20545,COM,46288,76,46,Saint-Perdoux,Lot,Occitanie,46100,44.679584119,2.04885783
20546,COM,46289,76,46,Saint-Pierre-Toirac,Lot,Occitanie,46160,44.536236667,1.954205536
