,CODGEO,TP6020
793,02418,
794,02419,
795,02420,
796,02421,
797,02422,
798,02423,
799,02424,
800,02425,
801,02426,
802,02427,
803,02428,
804,02429,
805,02430,
806,02431,
807,02432,
808,02433,
809,02435,
810,02438,
811,02439,
812,02440,
813,02441,
814,02442,
815,02443,
816,02444,
817,02445,
818,02446,
819,02447,
820,02448,
821,02449,
822,02450,
823,02451,
824,02452,
825,02453,
826,02454,
827,02455,
828,02456,
829,02457,
830,02458,
831,02459,
832,02460,
833,02461,
834,02462,
835,02463,
836,02464,
837,02465,
838,02466,
839,02467,
840,02468,27.0
841,02469,
842,02470,
843,02471,
844,02472,
845,02473,
846,02474,
847,02476,
848,02477,
849,02478,
850,02480,
851,02481,
852,02482,
853,02483,
854,02484,
855,02485,
856,02486,
857,02487,
858,02488,
859,02489,
860,02490,
861,02491,
862,02492,
863,02493,
864,02494,
865,02495,
866,02496,
867,02497,
868,02498,
869,02499,
870,02500,
871,02501,
872,02502,
873,02503,
874,02504,
875,02505,
876,02506,
877,02507,
878,02508,
879,02509,
880,02510,
881,02511,
882,02512,
883,02513,
884,02514,
885,02515,
886,02516,
887,02517,
888,02518,
889,02519,
890,02520,
891,02521,
892,02522,
893,02523,
894,02524,
895,02525,
896,02526,
897,02527,
898,02528,
899,02529,
900,02530,
901,02531,
902,02532,
903,02533,
904,02534,
905,02535,
906,02536,
907,02537,
908,02538,
909,02539,
910,02540,
911,02541,
912,02542,
913,02543,
914,02544,
915,02545,
916,02546,
917,02547,
918,02548,
919,02549,
920,02550,
921,02551,
922,02552,
923,02553,
924,02554,
925,02555,14.0
926,02556,
927,02557,
928,02558,22.0
929,02559,
930,02560,
931,02561,
932,02562,
933,02563,
934,02564,
935,02565,
936,02566,
937,02567,
938,02568,
939,02569,
940,02570,
941,02571,
942,02572,
943,02573,
944,02574,
945,02575,
946,02576,
947,02577,
948,02578,
949,02579,
950,02580,
951,02581,
952,02582,
953,02583,
954,02584,
955,02585,
956,02586,
957,02587,
958,02588,
959,02589,
960,02590,
961,02591,
962,02592,
963,02593,
964,02594,
965,02595,
966,02596,
967,02598,
968,02599,
969,02600,
970,02601,
971,02602,
972,02604,
973,02605,
974,02606,
975,02607,
976,02608,
977,02609,
978,02610,
979,02612,
980,02613,
981,02614,
982,02615,
983,02616,
984,02617,
985,02618,
986,02619,
987,02620,
988,02621,
989,02622,
990,02623,
991,02624,
992,02625,
993,02626,
994,02627,
995,02628,
996,02629,
997,02631,
998,02632,
999,02633,
1000,02634,
1001,02635,
1002,02636,
1003,02637,
1004,02638,
1005,02639,
1006,02640,
1007,02641,
1008,02642,
1009,02643,
1010,02644,
1011,02645,
1012,02647,
1013,02648,
1014,02649,
1015,02650,
1016,02651,
1017,02652,
1018,02653,
1019,02654,
1020,02655,
1021,02656,
1022,02657,
1023,02658,
1024,02659,
1025,02660,
1026,02661,
1027,02662,
1028,02663,
1029,02664,
1030,02665,
1031,02666,
1032,02667,
1033,02668,
1034,02670,
1035,02671,
1036,02672,
1037,02673,
1038,02674,
1039,02675,
1040,02676,
1041,02677,
1042,02678,
1043,02679,
1044,02680,
1045,02681,
1046,02682,
1047,02683,
1048,02684,23.0
1049,02685,
1050,02686,
1051,02687,
1052,02688,
1053,02689,
1054,02690,
1055,02691,27.0
1056,02693,
1057,02694,
1058,02696,
1059,02697,
1060,02698,
1061,02699,
1062,02701,
1063,02702,
1064,02703,
1065,02704,
1066,02705,
1067,02706,
1068,02707,
1069,02708,
1070,02709,
1071,02710,
1072,02711,
1073,02712,
1074,02713,
1075,02714,
1076,02715,
1077,02716,
1078,02717,
1079,02718,
1080,02719,11.0
1081,02720,
1082,02721,
1083,02722,28.0
1084,02723,
1085,02724,
1086,02725,
1087,02726,
1088,02727,
1089,02728,
1090,02729,
1091,02730,
1092,02731,
1093,02732,
1094,02734,
1095,02735,
1096,02736,
1097,02737,
1098,02738,24.0
1099,02739,
1100,02740,
1101,02741,
1102,02742,
1103,02743,
1104,02744,
1105,02745,
1106,02746,
1107,02747,
1108,02748,
1109,02749,
1110,02750,
1111,02751,
1112,02752,
1113,02753,
1114,02754,
1115,02755,
1116,02756,
1117,02757,
1118,02758,14.0
1119,02759,
1120,02760,
1121,02761,
1122,02762,
1123,02763,
1124,02764,
1125,02765,
1126,02766,
1127,02767,
1128,02768,
1129,02769,
1130,02770,
1131,02772,
1132,02773,
1133,02774,
1134,02775,
1135,02776,
1136,02777,
1137,02778,
1138,02779,
1139,02780,
1140,02781,
1141,02782,
1142,02783,
1143,02784,
1144,02785,
1145,02786,
1146,02787,
1147,02788,
1148,02789,27.0
1149,02790,
1150,02791,
1151,02792,
1152,02793,
1153,02794,
1154,02795,
1155,02796,
1156,02797,
1157,02798,
1158,02799,
1159,02800,
1160,02801,
1161,02802,
1162,02803,
1163,02804,
1164,02805,22.0
1165,02806,
1166,02807,
1167,02808,
1168,02809,
1169,02810,16.0
1170,02812,
1171,02813,
1172,02814,
1173,02815,
1174,02816,
1175,02817,
1176,02818,
1177,02819,
1178,02820,
1179,02821,
1180,02822,
1181,02823,
1182,02824,
1183,02826,
1184,02827,
1185,02828,
1186,02829,
1187,02830,
1188,02831,
1189,02832,
1190,02833,
1191,02834,
1192,03001,11.0
1193,03002,
1194,03003,
1195,03004,
1196,03005,
1197,03006,
1198,03007,
1199,03008,
1200,03009,
1201,03010,
1202,03011,
1203,03012,
1204,03013,9.0
1205,03014,
1206,03015,
1207,03016,
1208,03017,
1209,03018,
1210,03019,
1211,03020,
1212,03021,
1213,03022,
1214,03023,15.0
1215,03024,
1216,03025,
1217,03026,
1218,03027,
1219,03028,
1220,03029,
1221,03030,
1222,03031,
1223,03032,
1224,03033,
1225,03034,
1226,03035,
1227,03036,15.0
1228,03037,
1229,03038,
1230,03039,
1231,03040,
1232,03041,
1233,03042,
1234,03043,
1235,03044,
1236,03045,
1237,03046,
1238,03047,
1239,03048,
1240,03049,
1241,03050,
1242,03051,
1243,03052,
1244,03053,
1245,03054,
1246,03055,
1247,03056,
1248,03057,
1249,03058,
1250,03059,
1251,03060,
1252,03061,
1253,03062,
1254,03063,
1255,03064,
1256,03065,
1257,03066,
1258,03067,
1259,03068,
1260,03069,
1261,03070,
1262,03071,
1263,03072,
1264,03073,
1265,03074,
1266,03075,
1267,03076,
1268,03077,
1269,03078,
1270,03079,
1271,03080,
1272,03081,
1273,03082,18.0
1274,03083,
1275,03084,13.0
1276,03085,
1277,03086,
1278,03087,
1279,03088,
1280,03089,
1281,03090,
1282,03091,
1283,03092,
1284,03093,
1285,03094,7.0
1286,03095,19.0
1287,03096,
1288,03097,
1289,03098,12.0
1290,03099,
1291,03100,
1292,03101,11.0
1293,03102,14.0
1294,03103,
1295,03104,
1296,03105,
1297,03106,
1298,03107,
1299,03108,
1300,03109,
1301,03110,
1302,03111,
1303,03112,
1304,03113,
1305,03114,
1306,03115,
1307,03116,
1308,03117,
1309,03118,16.0
1310,03119,
1311,03120,
1312,03121,
1313,03122,
1314,03124,
1315,03125,
1316,03126,
1317,03127,
1318,03128,10.0
1319,03129,
1320,03130,
