CODGEO,MED20
02207,22970.0
02208,23740.0
02209,19980.0
02210,22690.0
02211,21490.0
02212,21480.0
02213,22330.0
02214,
02215,21960.0
02216,22820.0
02217,21100.0
02218,20550.0
02219,20390.0
02220,21830.0
02221,23600.0
02222,
02223,21300.0
02224,20360.0
02225,
02226,21780.0
02227,23190.0
02228,20890.0
02229,
02230,23650.0
02231,19790.0
02232,22690.0
02233,22030.0
02234,
02235,19490.0
02236,20610.0
02237,19810.0
02238,20040.0
02239,20300.0
02240,20930.0
02241,
02242,23860.0
02243,20380.0
02244,
02245,21270.0
02246,22510.0
02248,17720.0
02249,22300.0
02250,
02251,
02252,
02253,23960.0
02254,23000.0
02255,20400.0
02256,19460.0
02257,26100.0
02258,21810.0
02259,24750.0
02260,19450.0
02261,21300.0
02262,22810.0
02263,23340.0
02264,18950.0
02265,
02266,
02267,20480.0
02268,23340.0
02269,20440.0
02270,20920.0
02271,18290.0
02272,
02273,21680.0
02274,19630.0
02275,16980.0
02276,22880.0
02277,20860.0
02278,
02279,24150.0
02280,23400.0
02281,22240.0
02282,20590.0
02283,19900.0
02284,
02286,20540.0
02287,24610.0
02288,20610.0
02289,23550.0
02290,23180.0
02291,22170.0
02292,21390.0
02293,20950.0
02294,23060.0
02295,18270.0
02296,22730.0
02297,22350.0
02298,19500.0
02299,21460.0
02302,23690.0
02303,32520.0
02304,15660.0
02305,18960.0
02306,19220.0
02307,22320.0
02308,19200.0
02309,20630.0
02310,22580.0
02311,21800.0
02312,20120.0
02313,21660.0
02315,21350.0
02316,25620.0
02317,25570.0
02318,19510.0
02319,19260.0
02320,25320.0
02321,21130.0
02322,24490.0
02323,22470.0
02324,21390.0
02326,22190.0
02327,19100.0
02328,24270.0
02329,24080.0
02330,26260.0
02331,19000.0
02332,21850.0
02333,20210.0
02334,18600.0
02335,20420.0
02336,22410.0
02337,21020.0
02338,20550.0
02339,22000.0
02340,20340.0
02341,22220.0
02342,22630.0
02343,20610.0
02345,
02346,21050.0
02347,25050.0
02349,
02350,20310.0
02351,24520.0
02352,19380.0
02353,20750.0
02354,
02355,23680.0
02356,21030.0
02357,
02358,19400.0
02359,21540.0
02360,22560.0
02361,17300.0
02362,24430.0
02363,19080.0
02364,24470.0
02366,18910.0
02367,21170.0
02368,21950.0
02369,19060.0
02370,21830.0
02371,20920.0
02372,22460.0
02373,22210.0
02374,20300.0
02375,22800.0
02376,20360.0
02377,19790.0
02378,18340.0
02379,20330.0
02380,
02381,16280.0
02382,23230.0
02383,24170.0
02384,
02385,18340.0
02386,19940.0
02387,24220.0
02388,17980.0
02389,21720.0
02390,22030.0
02391,19980.0
02392,22740.0
02393,22730.0
02395,21550.0
02396,
02397,20880.0
02398,21110.0
02399,22360.0
02400,21820.0
02401,22670.0
02402,
02403,19490.0
02404,20340.0
02405,20650.0
02406,24570.0
02407,23210.0
02408,17580.0
02409,19120.0
02410,25590.0
02411,21310.0
02412,
02413,23000.0
02414,22000.0
02415,25510.0
02416,19520.0
02417,19120.0
02418,21020.0
02419,24100.0
02420,24540.0
02421,
02422,18860.0
02423,21580.0
02424,22120.0
02425,19120.0
02426,22330.0
02427,20720.0
02428,
02429,23440.0
02430,19850.0
02431,21480.0
02432,21250.0
02433,20390.0
02435,
02438,23940.0
02439,20690.0
02440,19530.0
02441,24300.0
02442,
02443,25460.0
02444,20040.0
02445,21870.0
02446,22620.0
02447,18950.0
02448,21570.0
02449,
02450,17270.0
02451,19120.0
02452,22490.0
02453,21890.0
02454,20650.0
02455,21420.0
02456,19660.0
02457,19120.0
02458,22470.0
02459,26220.0
02460,19680.0
02461,22060.0
02462,21750.0
02463,
02464,22040.0
02465,22950.0
02466,22870.0
02467,
02468,17930.0
02469,18500.0
02470,19020.0
02471,22620.0
02472,20520.0
02473,20040.0
02474,22430.0
02476,18020.0
02477,24220.0
02478,21570.0
02480,22100.0
02481,29000.0
02482,
02483,22700.0
02484,21540.0
02485,
02486,
02487,22580.0
02488,20190.0
02489,24990.0
02490,27750.0
02491,19180.0
02492,20990.0
02493,21160.0
02494,22130.0
02495,20400.0
02496,23090.0
02497,23260.0
02498,21100.0
02499,
02500,19000.0
02501,
02502,17200.0
02503,18970.0
02504,20440.0
02505,22980.0
02506,24990.0
02507,
02508,23140.0
02509,22510.0
02510,24030.0
02511,19490.0
02512,22610.0
02513,21030.0
02514,21560.0
02515,
02516,
02517,19540.0
02518,21920.0
02519,16300.0
02520,21860.0
02521,23700.0
02522,
02523,
02524,23140.0
02525,24280.0
02526,
02527,22510.0
02528,23800.0
02529,20900.0
02530,
02531,22030.0
02532,22290.0
02533,23840.0
02534,
02535,20730.0
02536,
02537,21940.0
02538,
02539,20790.0
02540,23350.0
02541,22580.0
02542,
02543,20380.0
02544,19290.0
02545,20850.0
02546,21930.0
02547,
02548,19790.0
02549,23410.0
02550,21180.0
02551,21650.0
02552,24040.0
02553,20060.0
02554,23900.0
