CODGEO,SNHMC20,SNHMP20,SNHME20,SNHMO20,SNHM1820,SNHM2620,SNHM5020,chomeur_1564,actif_occ_temps_plein_15plus,actif_occ_temps_partiel_15plus,inactif_1564,inactif_65plus,D120H,D920H,MED20H,Ecart H/F études supérieures,Ecart H/F temps partiels,Ecart H/F actifs occupés,Ecart H/F Salaire net moyen,ets_total,ets_industrie_p,ets_impact_local_p,ets_taille50p_p,ets_creation_p,R_P19_POP1529,R_P19_POP3044,R_P19_POP4559,R_P19_POP6074,R_P19_POP7589,R_C19_MENPSEUL,R_C19_MENCOUPSENF,R_C19_MENCOUPAENF,R_C19_MENFAMMONO,TP6020,pauvrete
08491,24.0073752203564,14.7980267096236,10.9840676502193,12.5898938360544,9.88714528918999,13.000161956692,17.0034392990348,11.1,35.0,7.6,23.2,23.1,6.197802197802198,17.906593406593405,10.862637362637363,16.645279268737735,75.34972638890449,19.421687488865118,14.093440024194328,99.0,26.3,65.7,6.1,20.2,16.93,16.51,21.51,18.64,8.07,31.97,28.09,28.65,9.1,19.0,1
09122,22.5832704444096,13.9952664157082,10.8998923239325,11.3754388025254,10.4622085045721,12.8963457989832,15.6127637141957,8.8,32.1,8.6,20.7,29.8,5.758241758241758,19.86263736263736,11.39010989010989,-60.0460108993792,59.88870597512001,-1.2344490778152877,14.0999022195255,613.0,3.4,82.7,4.9,18.9,16.82,15.61,20.01,19.91,11.26,47.77,25.53,14.75,10.53,20.0,1
09157,20.8499063861577,13.7852131387929,10.5562198329146,11.6821821489226,10.1271126068997,12.3256518562943,13.5969621661749,8.1,28.2,7.2,19.9,36.5,6.076923076923077,16.37912087912088,10.291208791208792,11.680791627344002,59.875695349571394,3.6545179581907448,12.02359201822714,84.0,19.0,67.9,3.6,22.6,10.9,12.6,23.14,23.8,13.51,40.92,28.26,19.91,9.65,21.0,1
09160,19.1914214989776,14.2894980131628,10.7559476060506,11.0721010731537,9.61782921024114,11.7453958099174,12.6800270258274,12.7,24.3,6.7,20.8,35.5,5.510989010989011,16.543956043956044,9.912087912087912,10.811381156661604,68.32313864938078,10.311982500877798,3.0416663359902225,226.0,12.4,76.1,3.1,33.6,12.51,13.77,21.26,20.8,15.84,42.0,27.4,17.22,11.11,25.0,1
09167,27.7772831771923,15.1009475924072,11.1723775773373,11.940620133028,9.97396922767618,13.6944182681034,17.1835304542032,4.7,40.9,7.4,14.8,32.1,6.6923076923076925,18.48351648351648,11.642857142857142,-7.692307692307743,86.48648648648657,-4.487839852078465,12.957729595337826,86.0,5.8,73.3,1.2,40.7,11.93,16.35,22.16,17.66,12.68,35.51,29.44,26.17,7.94,13.0,1
09185,24.053403746899,14.6138594184834,11.1250562351943,11.8058043602634,10.1882008654122,13.554920957323,15.797418487176,6.6,43.7,8.2,14.1,27.4,7.197802197802198,18.67032967032967,11.5989010989011,10.7142857142862,78.68852459016405,7.573964497041572,18.72939770213925,119.0,16.0,63.9,7.6,37.8,14.2,18.22,20.37,16.06,9.32,35.94,24.93,25.22,12.75,11.0,1
09194,26.1304057557647,13.8435660812315,10.5792063925625,11.4390945086865,10.2615868263272,13.5379057636579,15.3701140060391,7.9,28.8,10.0,18.1,35.1,6.038461538461538,18.912087912087912,11.137362637362637,71.9298245614035,71.34502923976608,-3.313840155945419,19.735136595808797,173.0,4.6,78.6,3.5,22.5,13.64,13.06,19.95,23.69,13.51,42.9,28.71,15.48,10.32,18.0,1
09225,24.4144096215243,14.9202442536938,10.5779019970941,11.0312966073981,10.2849392220987,12.4496029679278,15.2620893953217,9.4,37.8,7.4,19.7,25.6,5.791208791208791,17.9010989010989,10.445054945054943,-30.444014676857662,66.90621570799738,26.050295508785297,12.838143617037131,741.0,6.7,73.5,3.5,26.0,21.22,16.31,18.67,15.31,10.46,46.6,23.27,17.76,10.46,22.0,1
09261,23.7859513782897,14.4194917360129,10.3375093241261,11.1914695414921,9.83871400748573,12.1922929894846,14.3487942149504,8.9,30.8,8.3,18.9,33.2,5.873626373626373,18.64835164835165,10.89010989010989,13.31633955961082,70.44817779055317,-8.999190439000392,11.454096610086347,324.0,6.8,81.5,2.5,25.3,14.77,15.97,19.33,19.41,13.94,49.35,21.55,15.71,10.38,20.0,1
09265,25.2369109090297,15.9611218428388,10.8157807626242,12.015755950739,9.82056779753921,12.9793900260583,17.4232149555035,6.1,34.6,8.8,15.9,34.5,7.335164835164835,19.48351648351648,11.972527472527473,-7.999304171525755,80.74534161490686,-1.6520958617479728,17.817931641941467,119.0,3.4,85.7,2.5,30.3,12.98,15.88,19.82,18.5,14.08,34.88,31.4,20.16,12.4,10.0,0
