CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,TP6020,pop_tot
56194,10.17,19.97,96.78,20.03,15.32,10.0,2936
56197,10.05,23.09,92.82,18.67,13.67,11.0,2860
56206,11.88,13.37,73.49,33.97,15.88,9.0,12195
56212,12.42,19.7,97.16,18.08,14.2,11.0,2620
56222,8.96,18.31,91.85,19.95,14.57,9.0,3001
56231,10.17,11.79,89.63,18.4,16.6,6.0,4019
56234,18.13,19.76,87.91,18.75,16.12,11.0,2193
56240,14.88,16.51,81.98,23.44,15.08,8.0,9045
56243,12.1,12.36,72.53,32.27,16.46,8.0,9189
56244,12.85,25.05,96.53,18.36,14.52,12.0,3223
56247,7.77,11.39,88.97,19.23,13.59,7.0,3889
56248,9.99,13.38,91.45,20.8,14.84,8.0,5000
56249,10.32,19.22,98.47,17.17,14.97,9.0,2323
56251,8.72,12.13,83.32,25.39,14.63,7.0,8625
56260,15.84,13.8,32.83,48.75,19.05,16.0,56018
56262,14.03,12.96,84.4,24.03,14.13,9.0,2609
56263,8.0,14.37,84.3,23.74,13.29,9.0,2938
57012,11.06,22.29,38.16,39.48,16.95,23.0,6157
57019,12.63,20.62,54.06,40.38,15.53,13.0,10739
57032,16.21,21.45,45.59,44.47,15.28,17.0,4743
57038,11.74,30.94,49.86,37.51,16.54,18.0,7172
57049,9.44,9.65,29.04,53.37,15.52,13.0,4672
57058,31.05,46.26,22.57,57.65,24.95,35.0,6635
57089,13.93,24.69,63.42,37.12,13.59,23.0,5056
57096,13.24,19.87,78.35,17.61,16.4,12.0,2516
57097,16.15,23.23,53.3,40.08,15.77,14.0,5635
57106,15.21,24.17,59.03,36.71,23.47,27.0,4001
57123,15.13,23.11,64.0,36.81,20.23,16.0,3456
57124,9.6,18.13,64.58,28.43,12.84,11.0,2653
57132,14.51,22.95,62.11,35.35,16.14,16.0,2542
57143,14.21,26.53,43.52,40.75,15.07,15.0,3401
57144,17.05,25.91,69.8,32.96,19.23,17.0,3396
57159,14.84,27.47,78.43,26.91,19.91,13.0,3909
57160,18.66,30.8,53.12,43.64,21.2,22.0,12975
57163,8.47,27.87,89.49,9.9,14.21,10.0,2430
57177,18.32,26.19,47.26,43.61,17.32,17.0,3004
57205,10.59,19.97,79.84,20.92,19.65,12.0,2553
57206,16.57,27.46,60.83,35.77,18.11,24.0,14997
57207,33.22,42.41,23.09,60.17,23.21,33.0,5453
57209,14.97,25.59,60.36,39.17,19.91,19.0,5241
57221,13.82,18.94,45.47,37.65,16.75,21.0,12040
57224,19.65,29.89,55.43,43.31,23.24,24.0,4019
57226,14.25,23.28,65.03,24.62,14.7,14.0,3173
57227,25.91,30.6,34.51,51.07,23.64,31.0,21797
57240,22.09,30.45,44.14,51.42,21.89,25.0,12952
57242,10.18,17.31,76.12,20.94,15.82,11.0,3068
57260,9.18,15.4,67.74,26.22,14.28,9.0,3371
57269,12.92,24.84,68.75,33.54,15.45,16.0,7661
57283,12.17,20.2,41.89,52.36,14.66,15.0,9437
57288,14.81,20.13,78.17,25.25,20.17,13.0,2902
57289,10.39,19.52,77.04,20.65,15.17,8.0,2930
